
18074001	20627	1658
18074002	20627	969
18074003	20627	310
18074004	20627	1722
18074005	20627	1853
18074006	20627	2466
18074011	20628	1915
18074012	20628	1848
18074013	20628	1895
18074014	20628	2085
18074015	20628	1880
18074018	20628	1859
18074019	20628	1796
18074020	20628	560
18074021	20628	1609
18074023	20628	1791
18074024	20628	1546
18074025	20628	36
18074026	20628	979
18074027	20628	572
18074028	20628	11
18074029	20628	203
18074030	20628	1764
18074031	20628	1668
18074032	20628	1189
18074050	20632	1509
18074051	20632	1893
18074052	20632	1949
18074053	20632	446
18074055	20632	2311
18074059	20632	1235
18075001	20632	173
18075002	20632	1825
18075003	20632	2028
18075010	20633	135
18075011	20633	1844
18075012	20633	603
18075014	20633	1817
18075015	20633	1708
18075016	20633	1820
18075017	20633	1850
18075018	20633	1632
18075019	20633	543
18075020	20633	529
18075078	20636	1644
18075079	20636	1023
18075081	20636	2116
18075082	20636	1944
18075083	20636	1972
18075084	20636	1036
18075085	20636	1870
18075086	20636	1896
18075087	20636	2438
18075088	20636	2225
18075089	20636	1329
18075090	20636	140
18075091	20636	1464
18075092	20636	256
18075094	20636	1552
18076001	20636	1231
18076002	20636	762
18076006	20637	64
18076007	20637	836
18076008	20637	195
18076009	20637	1154
18076013	20637	404
18076014	20637	443
18076023	20637	1757
18076024	20637	767
18076025	20637	1937
18076026	20637	1815
18076028	20637	1821
18076029	20637	1776
18076030	20637	1804
18076031	20637	718
18076032	20637	262
18076033	20637	704
18076034	20637	1915
18076035	20637	1958
18076057	20639	433
18076062	20639	582
18076063	20639	535
18076064	20639	1676
18076065	20639	1684
18076066	20639	1632
18076067	20639	208
18076068	20639	1449
18076069	20639	745
18076070	20639	2698
18076071	20639	2113
18076072	20639	1730
18076073	20639	949
18076074	20639	2325
18076075	20639	1085
18076079	20639	2794
18077002	20640	1814
18077004	20640	1639
18077006	20640	427
18077007	20640	1584
18077011	20642	1596
18077012	20642	1652
18077016	20643	1713
18077025	20644	2067
18077031	20644	1803
18077032	20644	2418
18077033	20644	403
18077034	20644	2312
18077035	20644	2354
18077036	20644	2412
18077037	20644	541
18077039	20644	180
18077040	20644	79
18077041	20644	428
18077044	20644	1049
18077045	20644	1832
18077046	20644	430
18077047	20644	2407
18078001	20644	1857
18078002	20644	1602
18078004	20644	668
18078007	20645	1711
18078008	20645	1026
18078010	20645	193
18078012	20645	563
18078013	20645	1516
18078014	20645	2069
