16066033	7.43861
16066035	8.13583
16066046	0.434722
16066047	0.507222
16066049	1.06944
16066050	1.51806
16066051	2.03722
16066052	2.71917
16066053	3.24861
16066054	3.7075
16066055	4.26833
16066059	4.8125
16066060	5.33083
16067001	5.84833
16067003	6.41806
16067004	7.10194
16067005	7.49361
16067006	7.95139
16067013	0.753333
16067014	1.32694
16067015	1.355
16067016	1.87306
16067017	2.4875
16067019	3.32306
16067020	3.80333
16067021	4.32917
16067022	4.88
16068022	4.2325
16068023	4.83889
16068024	5.02556
16068025	5.62417
16068028	6.0825
16068029	6.37333
16068030	7.00889
16068032	7.58111
16068034	8.32
16068035	8.92944
16068036	9.43028
16068037	9.94917
16068038	10.3761
16068039	10.9647
16068040	11.4347
16068042	11.9814
16068055	0.170556
16068056	0.943056
16068057	1.02972
16068058	1.67278
16069001	1.73028
16069002	2.29333
16069003	2.79944
16069004	3.36444
16069005	3.59111
16069006	3.76167
16069007	4.33778
16069008	4.82472
16069009	5.315
16069010	5.83
16069011	6.33222
16069012	6.83083
16069016	7.70444
16069053	1.03
16069054	1.84417
16069055	1.88667
16069060	2.67528
16069062	4.16528
16069063	4.20778
16069064	4.565
16069065	5.095
16069066	5.63056
16069067	6.31972
16070003	0.287222
16070004	0.929444
16070005	1.44722
16070006	2.43861
16070008	2.55778
16070009	3.32694
16070010	3.92778
16070012	4.55722
16070013	5.07861
16070014	5.68028
16070015	5.73972
16070039	0.9275
16071001	1.33389
16071002	1.36333
16071003	2.18806
16071006	2.53361
16071007	3.07639
16071010	3.62861
16071016	4.04278
16071018	4.55472
16071021	4.81611
16071022	5.37389
16071023	5.89722
16071024	6.27944
16071025	6.76944
16071026	7.73417
16071027	8.09889
16071043	0.839722
16071044	0.986111
16071045	1.27444
16071046	1.46972
16071050	2.64389
16071051	2.83889
16071052	3.82472
16071053	3.86889
16071054	4.39861
16071055	5.42222
16071056	5.63083
16071058	6.26139
16071059	6.79528
16071060	7.35194
16071061	8.17222
16071062	8.26917
16071076	0.865556
16071077	0.932778
16071078	1.42472
16071079	1.94083
16072001	2.50111
16072002	3.04639
16072003	3.62806
16072006	4.25194
16072007	4.6075
16072008	5.26056
16072009	5.88444
16072010	6.46278
16072012	6.9975
16072013	7.58667
16072014	8.09944
16072021	0.248889
16072022	0.8275
16072023	1.42528
16072024	1.96694
16072025	2.01972
16072026	3.01194
16072033	4.26528
16072034	5.18861
16072035	5.26944
16072036	5.79278
16072038	6.29306
16072039	6.81028
16072040	7.44389
16072041	7.95917
16072042	8.49972
16072046	10.1289
16072047	10.1994
16072057	0.429722
16072058	1.47889
16072059	1.99278
16072060	2.04306
16072061	2.38972
16072062	3.22667
16073001	3.87583
16073017	5.90194
16073018	6.66389
16073019	7.16944
16073020	7.61139
16073021	7.65
16073030	1.23833
16073031	1.7925
16073032	2.34222
16073033	2.64472
16073034	3.18361
16073035	3.35194
16073037	4.23028
16073038	4.26028
16073039	4.95778
16073040	5.0475
16077027	0.305
16077028	0.743056
16077029	0.869722
16077030	1.0775
16077031	2.05444
16077032	2.1175
16077033	2.70167
16077034	3.21556
16077037	4.44639
16077038	5.08944
16077039	5.14778
16077040	5.65917
16077041	6.32722
16077043	6.96889
16077044	7.77472
16077045	7.93639
16077046	8.365
16077047	9.43472
16077054	0.230833
16077055	0.913611
16078001	1.19861
16078002	1.765
16078003	2.34611
16078004	2.825
16078005	3.7425
16078006	3.845
16078007	4.36028
16078008	5.08611
16078009	5.23194
16078011	6.40972
16078012	6.99611
16078013	7.50028
16078014	8.1925
16078028	0.873889
16078029	1.99111
16078030	2.07833
16078031	2.98667
16078032	3.08306
16078033	3.67722
16078034	3.80778
16078035	4.78306
16078036	5.32472
16078037	5.39556
16078038	5.91444
16078039	6.32528
16078040	6.87222
16078041	7.44333
16078042	8.45222
16078055	0.200556
16078056	1.34806
16079001	1.40944
16079010	0.597778
16079011	0.716111
16079013	1.09694
16079014	2.09889
16079015	2.14194
16079016	3.22306
16079017	3.27667
16079018	4.34167
16079019	5.14861
16079020	5.895
16079021	6.25583
16079022	6.36639
16079023	7.12056
16079024	8.16056
16079027	8.58333
16079028	8.7675
16079029	8.90722
16079030	9.26667
16079031	9.97444
16079032	10.0672
16079033	11.1417
16079034	11.3275
16079035	12.0764
16079036	12.1872
16079045	0.130833
16079046	0.383889
16079047	0.745556
16079054	2.67306
16079057	3.52083
16079059	3.69278
16079060	4.30444
16079061	4.8675
16079062	5.35167
16079063	5.80917
16080002	6.30944
16080003	6.81417
16080004	6.89944
16080005	7.75
16080006	7.85083
16080007	8.07611
16080012	0.235
16080013	0.369722
16080014	0.76
16080015	1.30472
16080020	0.787778
16080021	0.854444
16080022	1.75111
16080023	2.07972
16080024	3.24472
16080025	3.40861
16080026	4.12056
16080027	4.63833
16080028	4.69806
16080029	5.27833
16080030	5.875
16080031	6.62222
16080032	7.27889
16080033	7.89056
16080043	0.163333
16080044	0.424722
16080045	0.837222
16080046	1.4
16080047	1.89389
16080048	2.41028
16080049	2.93611
16080050	3.98583
16080051	4.62111
16080052	5.15778
16080053	5.72194
16080054	6.05583
16080055	6.2
16081001	6.73278
16081002	7.29806
16081003	7.78972
16081004	8.13056
16081012	0.653611
16081013	0.692778
16081015	1.1575
16081016	1.71972
16081017	2.71389
16081018	2.79639
16081019	3.15778
16081020	3.70583
16081021	4.14611
16081022	4.47889
16081024	5.51889
16081025	5.63889
16081036	0.176389
16081037	0.800278
16081048	0.478611
16081049	0.813333
16081050	1.80278
16081052	1.99278
16081053	2.44667
16081054	2.99639
16081055	3.36111
16081056	3.90833
16081057	4.45444
16081058	5.635
16081059	5.69722
16081060	6.335
16081061	7.21694
16082001	7.41861
16082002	7.98639
16082011	0.220278
16082012	0.619722
16082013	1.28722
16082017	2.07972
16082018	2.13556
16082019	3.14
16082022	3.81306
16082023	4.37472
16082025	5.62556
16082027	7.11139
16082028	7.46139
16082029	7.98333
16082039	0.314444
16082040	0.587778
16082041	1.10139
16082042	1.63222
16082043	2.24333
16082045	2.62278
16082046	2.80194
16082047	3.24972
16082048	4.21139
16082049	4.26639
16082050	4.78972
16082051	5.71306
16082052	5.82528
16082053	6.68
16082054	6.75556
16082055	7.23417
16082056	7.76361
16082057	8.27028
16083004	0.770833
16083005	0.795556
16083006	1.19583
16083007	1.71361
16083008	2.24278
16083009	3.07
16083010	3.21944
16083011	4.18861
16083012	4.25639
16083013	4.79083
16083014	5.32278
16083015	6.00056
16083016	6.13528
16083017	6.7225
16083018	7.40333
16083019	7.45944
16083041	0.205833
16083042	0.705833
16083043	1.22722
16083044	1.62
16083045	1.78639
16083046	2.11194
16083048	2.87694
16083049	3.16722
16083050	3.37861
16083052	3.66167
16083053	4.19639
16083055	5.15694
16083056	5.87639
16083057	6.01639
16083058	6.53694
16083059	7.09972
16083060	7.60528
16084004	2.71667
16084006	2.78972
16084007	3.36472
16084008	4.38528
16084009	4.46722
16084011	5.60333
16084012	5.67861
16084013	6.26417
16084014	6.78667
16084015	7.945
16085005	0.231111
16085006	0.785
16085007	0.804167
16085008	1.06778
16085009	1.70778
16085011	1.88917
16085012	2.42028
16085013	2.65111
16085014	3.32333
16085023	0.441389
16085024	0.955
16085025	2.025
16085026	2.07389
16085027	2.605
16085028	3.08222
16085029	3.62778
16085030	4.15444
16085031	4.49972
16085032	5.49417
16085033	5.59917
16085035	6.17083
16085036	6.60222
16085037	7.40333
16085051	0.376389
16085052	0.95
16085054	1.29056
16085055	1.92194
16085056	2.04
16085057	2.97
16085058	3.18667
16085061	0.129167
16085062	0.721944
16085065	1.55167
16085067	1.63889
16085069	1.79472
16085071	2.25667
16085072	2.80667
16085073	2.945
16085074	3.2575
16086001	4.28583
16086002	4.33167
16086003	4.86194
16086004	5.3675
16086005	5.92139
16086006	6.29972
16086007	6.76389
16086008	7.66667
16086024	0.206389
16086025	0.762778
16086026	1.40528
16086027	1.98083
16086028	2.92639
16086030	3.14889
16086031	3.70139
16086032	4.24861
16086033	4.86833
16086034	5.32833
16086035	5.82444
16086036	6.61472
16086037	6.67944
16086038	7.04417
16086039	7.88361
16086040	8.00528
16086041	9.02222
16086042	9.09139
16086050	0.125
16086051	0.657778
16086052	1.15889
16086053	1.46361
16086054	2.47611
16087001	2.49361
16087002	3.70111
16087003	3.74806
16087004	4.0525
16087005	4.58722
16087006	5.13417
16087007	5.96861
16087008	6.12056
16087009	7.18917
16087010	7.22417
16087011	7.68083
16087019	0.355278
16087020	1.08667
16087021	1.13139
16087022	1.68583
16087023	2.27889
16087024	2.72444
16087025	3.18778
16087026	3.69
16087027	4.23083
16087028	4.74833
16087029	5.7025
16087030	5.72833
16087031	6.28028
16087032	6.80944
16087033	7.41222
16087041	0.120278
16087042	0.664444
16087043	1.20306
16087044	1.69389
16087045	2.0725
16087046	2.66722
16087047	3.25528
16087048	3.91556
16087049	4.48778
16087050	4.52611
16087051	5.42778
16087052	5.60556
16087053	6.22833
16087054	6.70528
16087055	7.22833
16088001	7.75306
16088013	0.684722
16088016	1.11917
16088017	1.73833
16088018	2.17056
16088019	2.715
16088020	3.21139
16088021	4.09444
16088022	4.21722
16088023	4.76778
16088025	5.29806
16088026	6.25778
16088027	6.31417
16088028	7.05222
16088029	7.57667
16088030	7.62806
16088031	8.1475
16088040	0.772778
16088041	1.29639
16088042	1.80944
16088043	2.32444
16088044	2.86417
16088045	3.11722
16088046	3.68972
16088047	4.56472
16088048	5.12556
16088049	5.28389
16088050	5.47417
16089001	6.43361
16089002	6.52889
16089003	6.78111
16089004	6.82889
16089005	7.39556
16089015	0.689167
16089016	1.05361
16089017	1.55278
16089018	2.08222
16089019	2.98556
16089020	3.11278
16089024	4.22083
16089026	4.7125
16089027	5.22028
16089028	5.79222
16089029	6.23833
16089030	6.85889
16089031	7.38444
16089041	0.621944
16089042	0.653611
16089043	1.17056
16089044	1.66111
16089045	2.21222
16089046	2.71972
16089047	2.74917
16089048	2.81694
16089049	3.07556
16089050	3.625
16089051	4.57944
16089052	5.10944
16089053	5.70833
16089054	5.72889
16090001	6.08278
16090002	6.37056
16090003	6.91861
16090004	7.50944
16090005	7.95833
16090015	0.29
16090016	0.878333
16090017	1.06528
16090018	1.60444
16090019	2.15583
16090020	2.71306
16090021	3.15639
16090022	3.70194
16090023	4.20833
16090024	4.73556
16090025	5.30417
16090026	5.805
16090027	6.65889
16090028	7.19139
16090029	7.21417
16090030	7.79528
16090038	0.116944
16090039	1.00444
16090041	0.103889
16090042	0.929722
16090044	1.84333
16090045	1.86583
16090046	2.49389
16090047	3.28833
16090048	3.8025
16090049	4.36222
16090050	4.78639
16090051	5.7325
16090052	5.79667
16090053	6.19917
16091003	0.234444
16091004	1.18667
16091005	1.25111
16091006	1.7875
16091007	2.31
16091008	2.83194
16091009	3.19917
16091010	3.75833
16091011	4.26278
16091012	4.81444
16091013	5.32722
16091014	5.88611
16091039	0.330556
16091042	0.855278
16091057	1.26083
16091061	1.66194
16091062	2.435
16091063	2.47861
16092001	3.58917
16092002	3.6675
16092003	3.96944
16092014	0.144167
16092015	0.688056
16092016	1.05417
16092017	1.59556
16092018	2.19917
16092019	2.66028
16092020	3.135
16092021	3.58722
16092022	4.11556
16092023	4.65583
16092031	0.575556
16092033	0.678611
16092034	1.05111
16092035	1.57278
16092036	2.14417
16092037	2.60444
