
16066033	18753	1699
16066035	18753	1536
16066046	18754	432
16066047	18754	1772
16066049	18754	1547
16066050	18754	1818
16066051	18754	2398
16066052	18754	1843
16066053	18754	1586
16066054	18754	1286
16066055	18754	1651
16066059	18754	1808
16066060	18754	1811
16067001	18754	1894
16067003	18754	1872
16067004	18754	1558
16067005	18754	1909
16067006	18754	438
16067013	18758	1267
16067014	18758	753
16067015	18758	1806
16067016	18758	1876
16067017	18758	1818
16067019	18758	1820
16067020	18758	1832
16067021	18758	1809
16067022	18758	1686
16068022	18761	2002
16068023	18761	603
16068024	18761	1995
16068025	18761	1033
16068028	18761	839
16068029	18761	2064
16068030	18761	1917
16068032	18761	1996
16068034	18761	1818
16068035	18761	2021
16068036	18761	1814
16068037	18761	1481
16068038	18761	1854
16068039	18761	1842
16068040	18761	1264
16068042	18761	1763
16068055	18763	1805
16068056	18763	1170
16068057	18763	558
16068058	18763	1828
16069001	18763	1930
16069002	18763	1830
16069003	18763	1553
16069004	18763	358
16069005	18763	562
16069006	18763	1808
16069007	18763	1796
16069008	18763	1817
16069009	18763	1801
16069010	18763	1242
16069011	18763	1813
16069012	18763	1822
16069016	18763	1173
16069024	18764	624
16069025	18764	1856
16069026	18764	1807
16069027	18764	1820
16069028	18764	1820
16069029	18764	660
16069030	18764	1293
16069031	18764	733
16069032	18764	456
16069033	18764	1026
16069034	18764	1833
16069035	18764	1845
16069036	18764	2296
16069038	18764	225
16069039	18764	1655
16069040	18764	240
16069041	18764	1854
16069042	18764	1894
16069053	18765	1232
16069054	18765	1746
16069055	18765	558
16069060	18765	3006
16069062	18765	1967
16069063	18765	1227
16069064	18765	1795
16069065	18765	1777
16069066	18765	1714
16069067	18765	857
16070003	18766	2227
16070004	18766	1825
16070005	18766	1816
16070006	18766	1842
16070008	18766	2143
16070009	18766	2222
16070010	18766	1891
16070012	18766	1820
16070013	18766	1838
16070014	18766	440
16070015	18766	537
16070039	18772	1658
16071001	18772	1221
16071002	18772	948
16071003	18772	229
