8	131
8	168
8	528
9	220
9	426
9	428
10	8
10	9
10	11
10	12
10	21
10	23
10	24
10	36
10	56
10	59
10	60
10	71
10	191
10	200
10	204
10	205
10	206
10	207
10	217
10	218
10	220
10	221
10	222
10	229
10	232
10	238
10	239
10	240
10	241
10	246
10	249
10	251
10	253
10	254
10	256
10	260
10	264
10	265
10	266
10	268
10	273
10	275
10	283
10	285
10	286
10	287
10	288
11	8
11	9
11	10
11	11
11	36
11	72
11	116
11	118
11	164
11	189
11	206
11	207
11	208
11	209
11	221
11	227
11	232
11	239
11	240
11	245
11	246
11	249
11	250
11	252
11	253
11	259
11	262
11	264
11	267
11	286
11	287
